"","ds","ctv_S","ooh_S","facebook_S","search_S","newsletter","type","solID"
"20",2020-04-04,0,0,20.8373114038,1906.6666666667,9460,"rawMedia","1_98_11"
"21",2020-04-11,0,66413.8666666667,0,1866.6666666667,2964,"rawMedia","1_98_11"
"22",2020-04-18,11126.7333333333,0,2348.6878533048,1786.6666666667,11663,"rawMedia","1_98_11"
"23",2020-04-25,0,0,0,1800,6317,"rawMedia","1_98_11"
"24",2020-05-02,0,0,0,1266.6666666667,5408,"rawMedia","1_98_11"
"25",2020-05-09,0,49957.8666666667,0,1426.6666666667,1900,"rawMedia","1_98_11"
"26",2020-05-16,0,0,3673.9307739778,0,19401.6538461538,"rawMedia","1_98_11"
"27",2020-05-23,0,124442.666666667,0,0,19401.6538461538,"rawMedia","1_98_11"
"28",2020-05-30,0,0,0,1346.6666666667,9003,"rawMedia","1_98_11"
"29",2020-06-06,0,0,0,1200,4305,"rawMedia","1_98_11"
"30",2020-06-13,0,0,0,1520,7217,"rawMedia","1_98_11"
"31",2020-06-20,20472.3866666667,123908.266666667,2553.155847997,1626.6666666667,1983,"rawMedia","1_98_11"
"32",2020-06-27,0,0,0,1506.6666666667,3437,"rawMedia","1_98_11"
"33",2020-07-04,10121.0133333333,0,0,1746.6666666667,4147,"rawMedia","1_98_11"
"34",2020-07-11,0,0,0,1906.6666666667,8479,"rawMedia","1_98_11"
"35",2020-07-18,1900.4133333333,319643.2,3552.8149568224,1426.6666666667,6348,"rawMedia","1_98_11"
"36",2020-07-25,0,0,0,1946.6666666667,13762,"rawMedia","1_98_11"
"37",2020-08-01,28180.2533333333,164217.066666667,5102.0314157744,2280,11841,"rawMedia","1_98_11"
"38",2020-08-08,0,0,0,2533.3333333333,17162,"rawMedia","1_98_11"
"39",2020-08-15,28630.68,0,1011.8776916675,0,19401.6538461538,"rawMedia","1_98_11"
"40",2020-08-22,0,0,641.8393851335,0,19401.6538461538,"rawMedia","1_98_11"
"41",2020-08-29,23991.16,159645.866666667,0,3080,2453,"rawMedia","1_98_11"
"42",2020-09-05,21261.84,87810.1333333333,62.7969109802,3173.3333333333,3186,"rawMedia","1_98_11"
"43",2020-09-12,0,160115.733333333,0,3333.3333333333,11247,"rawMedia","1_98_11"
"44",2020-09-19,0,32694.4,4537.6180993112,3400,15280,"rawMedia","1_98_11"
"45",2020-09-26,0,162375.466666667,0,2973.3333333333,2886,"rawMedia","1_98_11"
"46",2020-10-03,144536.64,121869.866666667,3147.1676928101,3373.3333333333,14067,"rawMedia","1_98_11"
"47",2020-10-10,0,0,3614.1666956623,3986.6666666667,24098,"rawMedia","1_98_11"
"48",2020-10-17,81389.3466666667,29795.7333333333,5324.417293529,3720,26550,"rawMedia","1_98_11"
"49",2020-10-24,0,158912.533333333,5865.92293671,4080,17728,"rawMedia","1_98_11"
"50",2020-10-31,93994.7866666667,0,6407.4285798911,4893.3333333333,13989,"rawMedia","1_98_11"
"51",2020-11-07,0,142602.133333333,6954.9446522006,4160,29426,"rawMedia","1_98_11"
"52",2020-11-14,52324.3866666667,0,5332.015383182,0,19401.6538461538,"rawMedia","1_98_11"
"53",2020-11-21,6957.0533333333,145018.133333333,6682.0938506313,0,19401.6538461538,"rawMedia","1_98_11"
"54",2020-11-28,0,0,4731.8797049173,9533.3333333333,27941,"rawMedia","1_98_11"
"55",2020-12-05,14254.4,239080.533333333,1656.4678646185,8400,51273,"rawMedia","1_98_11"
"56",2020-12-12,0,0,3030.3612399354,7346.6666666667,19606,"rawMedia","1_98_11"
"57",2020-12-19,0,334920,1011.8776916675,6893.3333333333,4453,"rawMedia","1_98_11"
"58",2020-12-26,107721.013333333,0,7226.548006215,7733.3333333333,559,"rawMedia","1_98_11"
"59",2021-01-02,41054.3466666667,453696,4281.2109246028,7373.3333333333,46507,"rawMedia","1_98_11"
"60",2021-01-09,0,0,5472.9769568938,7080,21771,"rawMedia","1_98_11"
"61",2021-01-16,5913.2933333333,0,5987.7191798046,6706.6666666667,35351,"rawMedia","1_98_11"
"62",2021-01-23,0,0,6502.4614027153,7000,13998,"rawMedia","1_98_11"
"63",2021-01-30,40244.96,0,4280.6439029869,7226.6666666667,27415,"rawMedia","1_98_11"
"64",2021-02-06,0,0,0,5586.6666666667,4085,"rawMedia","1_98_11"
"65",2021-02-13,0,127723.733333333,8260.4552206404,0,19401.6538461538,"rawMedia","1_98_11"
"66",2021-02-20,0,0,0,0,19401.6538461538,"rawMedia","1_98_11"
"67",2021-02-27,0,0,13900.6192339616,4506.6666666667,26556,"rawMedia","1_98_11"
"68",2021-03-06,0,0,0,4666.6666666667,12272,"rawMedia","1_98_11"
"69",2021-03-13,10360.88,0,0,4213.3333333333,25992,"rawMedia","1_98_11"
"70",2021-03-20,0,0,0,3773.3333333333,22696,"rawMedia","1_98_11"
"71",2021-03-27,0,24476.2666666667,2615.8684387152,4800,26404,"rawMedia","1_98_11"
"72",2021-04-03,0,0,0,4560,1245,"rawMedia","1_98_11"
"73",2021-04-10,0,500361.6,0,3666.6666666667,1126,"rawMedia","1_98_11"
"74",2021-04-17,7469.0533333333,0,0,3546.6666666667,11966,"rawMedia","1_98_11"
"75",2021-04-24,0,296154.666666667,0,3266.6666666667,17897,"rawMedia","1_98_11"
"76",2021-05-01,36622.92,0,0,2600,6052,"rawMedia","1_98_11"
"77",2021-05-08,0,306346.133333333,0,2680,9055,"rawMedia","1_98_11"
"78",2021-05-15,0,0,0,0,19401.6538461538,"rawMedia","1_98_11"
"79",2021-05-22,0,41006.4,3978.5347860374,0,19401.6538461538,"rawMedia","1_98_11"
"80",2021-05-29,0,0,0,2173.3333333333,5778,"rawMedia","1_98_11"
"81",2021-06-05,9125.4666666667,42486.9333333333,3092.053191745,2680,1988,"rawMedia","1_98_11"
"82",2021-06-12,0,0,0,2226.6666666667,4794,"rawMedia","1_98_11"
"83",2021-06-19,36259.68,0,31.2705091363,3173.3333333333,5180,"rawMedia","1_98_11"
"84",2021-06-26,0,158632,0,2666.6666666667,1048,"rawMedia","1_98_11"
"85",2021-07-03,4560.76,0,6650.1138314947,3786.6666666667,10977,"rawMedia","1_98_11"
"86",2021-07-10,0,0,0,3720,6813,"rawMedia","1_98_11"
"87",2021-07-17,9863.8,108181.333333333,0,3853.3333333333,2361,"rawMedia","1_98_11"
"88",2021-07-24,0,0,0,3866.6666666667,15114,"rawMedia","1_98_11"
"89",2021-07-31,11384.92,205440,0,4533.3333333333,10044,"rawMedia","1_98_11"
"90",2021-08-07,0,104866.133333333,0,5360,8930,"rawMedia","1_98_11"
"91",2021-08-14,34047.0533333333,0,0,0,19401.6538461538,"rawMedia","1_98_11"
"92",2021-08-21,0,0,1342.6781023815,0,19401.6538461538,"rawMedia","1_98_11"
"93",2021-08-28,117889.12,0,898.926985781,7000,33712,"rawMedia","1_98_11"
"94",2021-09-04,0,0,0,6493.3333333333,20000,"rawMedia","1_98_11"
"95",2021-09-11,48869.2666666667,150164.8,621.7668199308,5586.6666666667,2265,"rawMedia","1_98_11"
"96",2021-09-18,0,0,0,6440,15924,"rawMedia","1_98_11"
"97",2021-09-25,83663.84,144563.733333333,2529.0007271599,7640,24336,"rawMedia","1_98_11"
"98",2021-10-02,111304.453333333,58363.2,0,7346.6666666667,29510,"rawMedia","1_98_11"
"99",2021-10-09,44637.7866666667,327236.266666667,5348.5724143662,8013.3333333333,15458,"rawMedia","1_98_11"
"100",2021-10-16,0,0,4190.3740617362,7586.6666666667,43966,"rawMedia","1_98_11"
"101",2021-10-23,44360.5066666667,46091.2,4731.8797049173,7920,35016,"rawMedia","1_98_11"
"102",2021-10-30,4645.2266666667,0,5273.3853480983,8466.6666666667,4749,"rawMedia","1_98_11"
"103",2021-11-06,21149.0133333333,318524.266666667,3552.8149568224,9826.6666666667,25943,"rawMedia","1_98_11"
"104",2021-11-13,0,0,7600.1018467675,0,19401.6538461538,"rawMedia","1_98_11"
"105",2021-11-20,55227.3333333333,105305.066666667,3279.964155253,0,19401.6538461538,"rawMedia","1_98_11"
"106",2021-11-27,0,0,2463.7932413318,15013.3333333333,41469,"rawMedia","1_98_11"
"107",2021-12-04,28923.5466666667,87842.1333333333,1656.4678646185,12733.3333333333,16136,"rawMedia","1_98_11"
"108",2021-12-11,0,0,3030.3612399354,11120,37784,"rawMedia","1_98_11"
"109",2021-12-18,63749.0533333333,91841.6,1011.8776916675,11666.6666666667,43251,"rawMedia","1_98_11"
"110",2021-12-25,90415.72,0,7226.548006215,10080,57523,"rawMedia","1_98_11"
"111",2022-01-01,0,0,4281.2109246028,10653.3333333333,77617,"rawMedia","1_98_11"
"112",2022-01-08,0,3947.2,5472.9769568938,10840,74527,"rawMedia","1_98_11"
"113",2022-01-15,39089.24,0,0,10080,10394,"rawMedia","1_98_11"
"114",2022-01-22,0,56811.2,0,9226.6666666667,9740,"rawMedia","1_98_11"
"115",2022-01-29,25169.2,0,0,8960,13533,"rawMedia","1_98_11"
"116",2022-02-05,0,0,472.9803479196,10613.3333333333,56102,"rawMedia","1_98_11"
"117",2022-02-12,9165.2133333333,54185.6,0,0,19401.6538461538,"rawMedia","1_98_11"
"118",2022-02-19,0,0,0,0,19401.6538461538,"rawMedia","1_98_11"
"119",2022-02-26,12356.1066666667,56171.2,0,7413.3333333333,19325,"rawMedia","1_98_11"
"120",2022-03-05,0,0,0,7360,18078,"rawMedia","1_98_11"
"121",2022-03-12,53120.2533333333,90604.2666666667,0,7080,8711,"rawMedia","1_98_11"
"122",2022-03-19,0,0,0,5960,12979,"rawMedia","1_98_11"
"123",2022-03-26,19743.84,81915.2,0,6333.3333333333,23910,"rawMedia","1_98_11"
"124",2022-04-02,0,0,0,5520,10567,"rawMedia","1_98_11"
"125",2022-04-09,0,11257.6,0,5973.3333333333,41329,"rawMedia","1_98_11"
"126",2022-04-16,0,0,2113.2604783846,4973.3333333333,21616,"rawMedia","1_98_11"
"127",2022-04-23,0,158353.6,0,3693.3333333333,2529,"rawMedia","1_98_11"
"128",2022-04-30,0,0,12800.5972991227,3173.3333333333,6836,"rawMedia","1_98_11"
"129",2022-05-07,0,59674.1333333333,0,4720,330,"rawMedia","1_98_11"
"130",2022-05-14,0,0,13040.4474426468,0,19401.6538461538,"rawMedia","1_98_11"
"131",2022-05-21,947.1066666667,26288.5333333333,0,0,19401.6538461538,"rawMedia","1_98_11"
"132",2022-05-28,0,0,1009.042583588,4640,28568,"rawMedia","1_98_11"
"133",2022-06-04,0,0,0,4720,26708,"rawMedia","1_98_11"
"134",2022-06-11,8314.68,0,0,4533.3333333333,7675,"rawMedia","1_98_11"
"135",2022-06-18,0,17462.9333333333,0,5413.3333333333,23355,"rawMedia","1_98_11"
"136",2022-06-25,0,0,3756.9427385451,5160,16989,"rawMedia","1_98_11"
"137",2022-07-02,14621.9466666667,168101.333333333,0,3933.3333333333,14653,"rawMedia","1_98_11"
"138",2022-07-09,0,0,8079.8021338158,5186.6666666667,15143,"rawMedia","1_98_11"
"139",2022-07-16,8855.7866666667,59517.8666666667,0,5146.6666666667,9013,"rawMedia","1_98_11"
"140",2022-07-23,9728.8933333333,0,0,6920,22477,"rawMedia","1_98_11"
"141",2022-07-30,0,0,0,7746.6666666667,8906,"rawMedia","1_98_11"
"142",2022-08-06,13041.4933333333,92574.4,0,8773.3333333333,59318,"rawMedia","1_98_11"
"143",2022-08-13,0,0,4450.7503877559,0,19401.6538461538,"rawMedia","1_98_11"
"144",2022-08-20,61563.12,106432,0,0,19401.6538461538,"rawMedia","1_98_11"
"145",2022-08-27,0,0,4508.4731882541,8586.6666666667,48020,"rawMedia","1_98_11"
"146",2022-09-03,11661.4133333333,68213.3333333333,0,9733.3333333333,70855,"rawMedia","1_98_11"
"147",2022-09-10,0,0,0,10506.6666666667,46225,"rawMedia","1_98_11"
"148",2022-09-17,0,46120.5333333333,3402.8944415794,9360,74995,"rawMedia","1_98_11"
"149",2022-09-24,887.9333333333,29320,0,10893.3333333333,1047,"rawMedia","1_98_11"
"150",2022-10-01,156703.44,26227.2,916.8448688433,12346.6666666667,34469,"rawMedia","1_98_11"
"151",2022-10-08,0,0,2015.8461647736,11493.3333333333,22232,"rawMedia","1_98_11"
"152",2022-10-15,44489.52,63107.2,2442.5866328973,12760,49409,"rawMedia","1_98_11"
"153",2022-10-22,0,0,0,13493.3333333333,49575,"rawMedia","1_98_11"
"154",2022-10-29,25289.9733333333,0,7931.8094920669,13800,42276,"rawMedia","1_98_11"
"155",2022-11-05,0,145392,0,14053.3333333333,25332,"rawMedia","1_98_11"
"156",2022-11-12,57350.92,0,8728.4748624013,0,19401.6538461538,"rawMedia","1_98_11"
"157",2022-11-19,0,47053.3333333333,0,0,19401.6538461538,"rawMedia","1_98_11"
"158",2022-11-26,53525.2,0,7003.5951068445,16000,301,"rawMedia","1_98_11"
"159",2022-12-03,0,53558.9333333333,0,13986.6666666667,34832,"rawMedia","1_98_11"
"160",2022-12-10,0,0,0,15773.3333333333,68792,"rawMedia","1_98_11"
"161",2022-12-17,0,15363.7333333333,0,15546.6666666667,37199,"rawMedia","1_98_11"
"162",2022-12-24,158046.573333333,0,9068.007406,17146.6666666667,80865,"rawMedia","1_98_11"
"163",2022-12-31,51379.9066666667,0,0,14493.3333333333,54011,"rawMedia","1_98_11"
"164",2023-01-07,0,329.6,1475.8147777939,17026.6666666667,96236,"rawMedia","1_98_11"
"165",2023-01-14,11583.9733333333,0,0,16293.3333333333,80627,"rawMedia","1_98_11"
"166",2023-01-21,0,27275.2,2861.5022027215,13813.3333333333,629,"rawMedia","1_98_11"
"167",2023-01-28,31676.4,0,0,15200,19984,"rawMedia","1_98_11"
"168",2023-02-04,0,0,0,13920,55736,"rawMedia","1_98_11"
"169",2023-02-11,12722.84,0,2110.311965982,0,19401.6538461538,"rawMedia","1_98_11"
"170",2023-02-18,0,0,0,0,19401.6538461538,"rawMedia","1_98_11"
"171",2023-02-25,18120.96,30883.2,0,12186.6666666667,46243,"rawMedia","1_98_11"
"172",2023-03-04,0,0,0,9946.6666666667,36979,"rawMedia","1_98_11"
"173",2023-03-11,5490.32,0,0,9040,23990,"rawMedia","1_98_11"
"174",2023-03-18,0,0,6120.7424508939,7160,16046,"rawMedia","1_98_11"
"175",2023-03-25,3483.3866666667,5765.3333333333,0,7973.3333333333,28980,"rawMedia","1_98_11"
"176",2023-04-01,0,0,3308.6554490174,7880,7453,"rawMedia","1_98_11"
"177",2023-04-08,47889.8133333333,2057.0666666667,0,7453.3333333333,37507,"rawMedia","1_98_11"
"178",2023-04-15,0,0,0,6400,43718,"rawMedia","1_98_11"
"179",2023-04-22,4878.4,0,1596.9305949494,6266.6666666667,1167,"rawMedia","1_98_11"
"180",2023-04-29,0,0,2513.1241219148,5626.6666666667,1546,"rawMedia","1_98_11"
"181",2023-05-06,3695.8933333333,0,0,7280,34861,"rawMedia","1_98_11"
"182",2023-05-13,0,0,6455.0583956264,0,19401.6538461538,"rawMedia","1_98_11"
"183",2023-05-20,29240.3866666667,5769.0666666667,0,0,19401.6538461538,"rawMedia","1_98_11"
"184",2023-05-27,0,3667.7333333333,0,5213.3333333333,21000,"rawMedia","1_98_11"
"185",2023-06-03,0,0,0,6200,19903,"rawMedia","1_98_11"
"186",2023-06-10,0,0,49.5286051682,4146.6666666667,8031,"rawMedia","1_98_11"
"187",2023-06-17,0,0,0,4813.3333333333,20173,"rawMedia","1_98_11"
"188",2023-06-24,6160.48,0,0,4933.3333333333,26938,"rawMedia","1_98_11"
"189",2023-07-01,0,0,0,6386.6666666667,8713,"rawMedia","1_98_11"
"190",2023-07-08,5270.36,0,0,6133.3333333333,17384,"rawMedia","1_98_11"
"191",2023-07-15,0,66465.0666666667,0,7720,4153,"rawMedia","1_98_11"
"192",2023-07-22,12049.5066666667,0,2860.1413508433,8520,25861,"rawMedia","1_98_11"
"193",2023-07-29,0,38432.5333333333,0,9520,1820,"rawMedia","1_98_11"
"194",2023-08-05,13009.9733333333,0,15400.3914080076,10813.3333333333,40473,"rawMedia","1_98_11"
"195",2023-08-12,0,33946.6666666667,0,0,19401.6538461538,"rawMedia","1_98_11"
"196",2023-08-19,0,0,9744.9178110571,0,19401.6538461538,"rawMedia","1_98_11"
"197",2023-08-26,0,38522.1333333333,0,12986.6666666667,48083,"rawMedia","1_98_11"
"198",2023-09-02,226.4133333333,0,4037.9586513833,12800,34061,"rawMedia","1_98_11"
"199",2023-09-09,49267.8,4244.8,0,13760,31325,"rawMedia","1_98_11"
"200",2023-09-16,0,11461.8666666667,1330.8840527708,16093.3333333333,70417,"rawMedia","1_98_11"
"201",2023-09-23,27816.9466666667,0,0,15426.6666666667,50905,"rawMedia","1_98_11"
"202",2023-09-30,0,31455.4666666667,0,14680,79428,"rawMedia","1_98_11"
"203",2023-10-07,19263.9466666667,0,13859.7936776171,15346.6666666667,58284,"rawMedia","1_98_11"
"204",2023-10-14,0,32230.9333333333,0,14946.6666666667,28157,"rawMedia","1_98_11"
"205",2023-10-21,20655.68,0,4454.1525174512,13826.6666666667,10644,"rawMedia","1_98_11"
"206",2023-10-28,2931,7516.8,0,15293.3333333333,9597,"rawMedia","1_98_11"
"207",2023-11-04,2993.7333333333,0,0,17880,90189,"rawMedia","1_98_11"
"208",2023-11-11,0,0,12206.3586456633,0,19401.6538461538,"rawMedia","1_98_11"
"209",2019-11-23,22358.3466666667,0,7607.1329148046,0,NA,"rawSpend","1_98_11"
"210",2019-11-30,28613.4533333333,0,1141.9524503542,4133.3333333333,NA,"rawSpend","1_98_11"
"211",2019-12-07,0,132278.4,4256.3753778266,3786.6666666667,NA,"rawSpend","1_98_11"
"212",2019-12-14,83450.3066666667,0,2800.490676851,4253.3333333333,NA,"rawSpend","1_98_11"
"213",2019-12-21,0,277336,689.582605192,3613.3333333333,NA,"rawSpend","1_98_11"
"214",2019-12-28,33225.3066666667,0,5337.0051734019,3773.3333333333,NA,"rawSpend","1_98_11"
"215",2020-01-04,687.0533333333,226753.6,3623.0122328703,3706.6666666667,NA,"rawSpend","1_98_11"
"216",2020-01-11,2952.2266666667,0,4129.8161531585,4266.6666666667,NA,"rawSpend","1_98_11"
"217",2020-01-18,0,0,3623.0122328703,3053.3333333333,NA,"rawSpend","1_98_11"
"218",2020-01-25,0,0,3002.6905850797,3053.3333333333,NA,"rawSpend","1_98_11"
"219",2020-02-01,16511.8266666667,42477.3333333333,0,2746.6666666667,NA,"rawSpend","1_98_11"
"220",2020-02-08,0,0,3564.3821977866,2693.3333333333,NA,"rawSpend","1_98_11"
"221",2020-02-15,66276.44,0,1448.5977402309,0,NA,"rawSpend","1_98_11"
"222",2020-02-22,0,0,0,0,NA,"rawSpend","1_98_11"
"223",2020-02-29,41556.2933333333,0,2415.5964039806,2293.3333333333,NA,"rawSpend","1_98_11"
"224",2020-03-07,0,0,0,2826.6666666667,NA,"rawSpend","1_98_11"
"225",2020-03-14,19772.44,43994.1333333333,0,2373.3333333333,NA,"rawSpend","1_98_11"
"226",2020-03-21,0,0,0,2293.3333333333,NA,"rawSpend","1_98_11"
"227",2020-03-28,0,66088.5333333333,6471.0484051946,2533.3333333333,NA,"rawSpend","1_98_11"
"228",2020-04-04,0,0,20.8373114038,1906.6666666667,NA,"rawSpend","1_98_11"
"229",2020-04-11,0,66413.8666666667,0,1866.6666666667,NA,"rawSpend","1_98_11"
"230",2020-04-18,11126.7333333333,0,2348.6878533048,1786.6666666667,NA,"rawSpend","1_98_11"
"231",2020-04-25,0,0,0,1800,NA,"rawSpend","1_98_11"
"232",2020-05-02,0,0,0,1266.6666666667,NA,"rawSpend","1_98_11"
"233",2020-05-09,0,49957.8666666667,0,1426.6666666667,NA,"rawSpend","1_98_11"
"234",2020-05-16,0,0,3673.9307739778,0,NA,"rawSpend","1_98_11"
"235",2020-05-23,0,124442.666666667,0,0,NA,"rawSpend","1_98_11"
"236",2020-05-30,0,0,0,1346.6666666667,NA,"rawSpend","1_98_11"
"237",2020-06-06,0,0,0,1200,NA,"rawSpend","1_98_11"
"238",2020-06-13,0,0,0,1520,NA,"rawSpend","1_98_11"
"239",2020-06-20,20472.3866666667,123908.266666667,2553.155847997,1626.6666666667,NA,"rawSpend","1_98_11"
"240",2020-06-27,0,0,0,1506.6666666667,NA,"rawSpend","1_98_11"
"241",2020-07-04,10121.0133333333,0,0,1746.6666666667,NA,"rawSpend","1_98_11"
"242",2020-07-11,0,0,0,1906.6666666667,NA,"rawSpend","1_98_11"
"243",2020-07-18,1900.4133333333,319643.2,3552.8149568224,1426.6666666667,NA,"rawSpend","1_98_11"
"244",2020-07-25,0,0,0,1946.6666666667,NA,"rawSpend","1_98_11"
"245",2020-08-01,28180.2533333333,164217.066666667,5102.0314157744,2280,NA,"rawSpend","1_98_11"
"246",2020-08-08,0,0,0,2533.3333333333,NA,"rawSpend","1_98_11"
"247",2020-08-15,28630.68,0,1011.8776916675,0,NA,"rawSpend","1_98_11"
"248",2020-08-22,0,0,641.8393851335,0,NA,"rawSpend","1_98_11"
"249",2020-08-29,23991.16,159645.866666667,0,3080,NA,"rawSpend","1_98_11"
"250",2020-09-05,21261.84,87810.1333333333,62.7969109802,3173.3333333333,NA,"rawSpend","1_98_11"
"251",2020-09-12,0,160115.733333333,0,3333.3333333333,NA,"rawSpend","1_98_11"
"252",2020-09-19,0,32694.4,4537.6180993112,3400,NA,"rawSpend","1_98_11"
"253",2020-09-26,0,162375.466666667,0,2973.3333333333,NA,"rawSpend","1_98_11"
"254",2020-10-03,144536.64,121869.866666667,3147.1676928101,3373.3333333333,NA,"rawSpend","1_98_11"
"255",2020-10-10,0,0,3614.1666956623,3986.6666666667,NA,"rawSpend","1_98_11"
"256",2020-10-17,81389.3466666667,29795.7333333333,5324.417293529,3720,NA,"rawSpend","1_98_11"
"257",2020-10-24,0,158912.533333333,5865.92293671,4080,NA,"rawSpend","1_98_11"
"258",2020-10-31,93994.7866666667,0,6407.4285798911,4893.3333333333,NA,"rawSpend","1_98_11"
"259",2020-11-07,0,142602.133333333,6954.9446522006,4160,NA,"rawSpend","1_98_11"
"260",2020-11-14,52324.3866666667,0,5332.015383182,0,NA,"rawSpend","1_98_11"
"261",2020-11-21,6957.0533333333,145018.133333333,6682.0938506313,0,NA,"rawSpend","1_98_11"
"262",2020-11-28,0,0,4731.8797049173,9533.3333333333,NA,"rawSpend","1_98_11"
"263",2020-12-05,14254.4,239080.533333333,1656.4678646185,8400,NA,"rawSpend","1_98_11"
"264",2020-12-12,0,0,3030.3612399354,7346.6666666667,NA,"rawSpend","1_98_11"
"265",2020-12-19,0,334920,1011.8776916675,6893.3333333333,NA,"rawSpend","1_98_11"
"266",2020-12-26,107721.013333333,0,7226.548006215,7733.3333333333,NA,"rawSpend","1_98_11"
"267",2021-01-02,41054.3466666667,453696,4281.2109246028,7373.3333333333,NA,"rawSpend","1_98_11"
"268",2021-01-09,0,0,5472.9769568938,7080,NA,"rawSpend","1_98_11"
"269",2021-01-16,5913.2933333333,0,5987.7191798046,6706.6666666667,NA,"rawSpend","1_98_11"
"270",2021-01-23,0,0,6502.4614027153,7000,NA,"rawSpend","1_98_11"
"271",2021-01-30,40244.96,0,4280.6439029869,7226.6666666667,NA,"rawSpend","1_98_11"
"272",2021-02-06,0,0,0,5586.6666666667,NA,"rawSpend","1_98_11"
"273",2021-02-13,0,127723.733333333,8260.4552206404,0,NA,"rawSpend","1_98_11"
"274",2021-02-20,0,0,0,0,NA,"rawSpend","1_98_11"
"275",2021-02-27,0,0,13900.6192339616,4506.6666666667,NA,"rawSpend","1_98_11"
"276",2021-03-06,0,0,0,4666.6666666667,NA,"rawSpend","1_98_11"
"277",2021-03-13,10360.88,0,0,4213.3333333333,NA,"rawSpend","1_98_11"
"278",2021-03-20,0,0,0,3773.3333333333,NA,"rawSpend","1_98_11"
"279",2021-03-27,0,24476.2666666667,2615.8684387152,4800,NA,"rawSpend","1_98_11"
"280",2021-04-03,0,0,0,4560,NA,"rawSpend","1_98_11"
"281",2021-04-10,0,500361.6,0,3666.6666666667,NA,"rawSpend","1_98_11"
"282",2021-04-17,7469.0533333333,0,0,3546.6666666667,NA,"rawSpend","1_98_11"
"283",2021-04-24,0,296154.666666667,0,3266.6666666667,NA,"rawSpend","1_98_11"
"284",2021-05-01,36622.92,0,0,2600,NA,"rawSpend","1_98_11"
"285",2021-05-08,0,306346.133333333,0,2680,NA,"rawSpend","1_98_11"
"286",2021-05-15,0,0,0,0,NA,"rawSpend","1_98_11"
"287",2021-05-22,0,41006.4,3978.5347860374,0,NA,"rawSpend","1_98_11"
"288",2021-05-29,0,0,0,2173.3333333333,NA,"rawSpend","1_98_11"
"289",2021-06-05,9125.4666666667,42486.9333333333,3092.053191745,2680,NA,"rawSpend","1_98_11"
"290",2021-06-12,0,0,0,2226.6666666667,NA,"rawSpend","1_98_11"
"291",2021-06-19,36259.68,0,31.2705091363,3173.3333333333,NA,"rawSpend","1_98_11"
"292",2021-06-26,0,158632,0,2666.6666666667,NA,"rawSpend","1_98_11"
"293",2021-07-03,4560.76,0,6650.1138314947,3786.6666666667,NA,"rawSpend","1_98_11"
"294",2021-07-10,0,0,0,3720,NA,"rawSpend","1_98_11"
"295",2021-07-17,9863.8,108181.333333333,0,3853.3333333333,NA,"rawSpend","1_98_11"
"296",2021-07-24,0,0,0,3866.6666666667,NA,"rawSpend","1_98_11"
"297",2021-07-31,11384.92,205440,0,4533.3333333333,NA,"rawSpend","1_98_11"
"298",2021-08-07,0,104866.133333333,0,5360,NA,"rawSpend","1_98_11"
"299",2021-08-14,34047.0533333333,0,0,0,NA,"rawSpend","1_98_11"
"300",2021-08-21,0,0,1342.6781023815,0,NA,"rawSpend","1_98_11"
"301",2021-08-28,117889.12,0,898.926985781,7000,NA,"rawSpend","1_98_11"
"302",2021-09-04,0,0,0,6493.3333333333,NA,"rawSpend","1_98_11"
